iter	Logloss
0	0.6721161946
1	0.6545214185
2	0.6394104033
3	0.6217951703
4	0.6086881618
5	0.5984959458
6	0.588203793
7	0.5788070474
8	0.5697473371
9	0.5633881252
10	0.5553887706
11	0.5495313508
12	0.5441394087
13	0.5377801489
14	0.5327704676
15	0.5263886909
16	0.5215108534
17	0.5178022673
18	0.5146615389
19	0.5108031434
20	0.5086564656
21	0.5056012537
22	0.5026539315
23	0.500342401
24	0.4975017707
25	0.4952449037
26	0.4931607463
27	0.4908924293
28	0.4887006218
29	0.4867948752
30	0.4853528815
31	0.4836670821
32	0.4825394152
33	0.4805990787
34	0.4779956905
35	0.4764021627
36	0.4745084411
37	0.4730192576
38	0.4717733528
39	0.4706595314
40	0.4694238311
41	0.4682660298
42	0.4665260461
43	0.4653366252
44	0.4636427294
45	0.4625731273
46	0.4618503339
47	0.4605771693
48	0.4595766511
49	0.4588723982
50	0.4574936914
51	0.4568002658
52	0.4557653015
53	0.4549904797
54	0.4543854929
55	0.4532973982
56	0.4520981562
57	0.4514107191
58	0.4509176942
59	0.4504199264
60	0.4496584709
61	0.4485902103
62	0.4477712169
63	0.4469489657
64	0.4461736168
65	0.4454017173
66	0.4449576069
67	0.4443677591
68	0.4437818878
69	0.4430230673
70	0.4424181284
71	0.4414883709
72	0.440742821
73	0.440187132
74	0.4392459243
75	0.4383040939
76	0.4375881514
77	0.4369980162
78	0.4364059647
79	0.4357398948
80	0.4352450973
81	0.4346557765
82	0.4339302044
83	0.4330952096
84	0.4327178355
85	0.4322181992
86	0.4318463345
87	0.4314026073
88	0.4307584315
89	0.4300657724
90	0.4295597164
91	0.4289512803
92	0.4286178381
93	0.4282105212
94	0.4278994043
95	0.4273139642
96	0.4266411871
97	0.4258657424
98	0.4253746817
99	0.4251104671
100	0.4247491902
101	0.4240182044
102	0.4232704028
103	0.4228545104
104	0.4223572216
105	0.4214248291
106	0.421074619
107	0.420568036
108	0.4201676658
109	0.4200785084
110	0.4196862347
111	0.4192583173
112	0.4186866268
113	0.418306474
114	0.4178109099
115	0.4175091831
116	0.4169853052
117	0.4165809107
118	0.416203824
119	0.415801825
120	0.4154433267
121	0.4150064504
122	0.414711287
123	0.4142404915
124	0.4136727775
125	0.4133597443
126	0.4127782805
127	0.412317977
128	0.411476275
129	0.4111307599
130	0.4107751362
