iter	Logloss
131	0.4102443595
132	0.4097219667
133	0.4095170627
134	0.409269089
135	0.4087134478
136	0.4084683966
137	0.4080742066
138	0.4076694768
139	0.4071272979
140	0.4066959789
141	0.4064712887
142	0.4062257105
143	0.4056075968
144	0.4051480119
145	0.4043338094
146	0.4039856114
147	0.4036775606
148	0.403165037
149	0.40297738
150	0.4025061533
151	0.4020928
152	0.4016717335
153	0.4013704378
154	0.4009596476
155	0.4005480189
156	0.4000468735
157	0.39965036
158	0.3991036538
159	0.3987892552
160	0.398507578
161	0.3979330849
162	0.3976095837
163	0.3970884365
164	0.3962816598
165	0.3957841314
166	0.3952701466
167	0.3943688227
168	0.3935764903
169	0.3931402847
170	0.392879783
171	0.3923686008
172	0.3918850617
173	0.3916447773
174	0.3913687533
175	0.3910943822
176	0.3907728212
177	0.3906316832
178	0.3903164702
179	0.3898255293
180	0.3895488106
181	0.3890366702
182	0.3883459275
183	0.3878138572
184	0.3875906043
185	0.3870776016
186	0.3865062225
187	0.3862427026
188	0.385919393
189	0.3854554724
190	0.3847850429
191	0.3842575958
192	0.384025336
193	0.3836664785
194	0.3830824277
195	0.3825212292
196	0.3821047139
197	0.3815328318
198	0.381031375
199	0.3806638221
200	0.3803255411
201	0.3798088734
202	0.379242405
203	0.3787808319
204	0.378411674
205	0.3779115347
206	0.377606598
207	0.3771750395
208	0.376831824
209	0.3766481194
210	0.3762059492
211	0.3755001154
212	0.375132778
213	0.3746699354
214	0.3741365476
215	0.3737127263
216	0.373253884
217	0.3730267984
218	0.3723974023
219	0.3720961067
220	0.3718876574
221	0.3716363062
222	0.3711232316
223	0.3707049916
224	0.3703101788
225	0.3698904537
226	0.3692251264
227	0.3690325587
228	0.3685292814
229	0.3682376872
230	0.367820573
231	0.3672333363
232	0.3668568724
233	0.3666033414
234	0.366056204
235	0.3657357929
236	0.365240109
237	0.3645502287
238	0.3642380099
239	0.363702083
240	0.3632720576
241	0.3627332083
242	0.3623206215
243	0.3619621233
244	0.3614738173
245	0.3609530534
246	0.3606109159
247	0.3600277274
248	0.3597036513
249	0.359274105
250	0.3586380018
251	0.3582691553
252	0.3580064259
253	0.3575090892
254	0.357066895
255	0.3567358243
256	0.3562667296
257	0.3555873651
258	0.3551884562
259	0.3547749591
260	0.3543835239
261	0.3540876658
262	0.3537347009
263	0.3533198625
264	0.3529933909
265	0.3525150739
266	0.3520935761
267	0.3516979968
268	0.3512554673
269	0.3505654911
270	0.3500274802
271	0.3496088091
272	0.3492400105
273	0.3488418202
274	0.3484599187
275	0.3481355552
276	0.3477543963
277	0.3473649732
278	0.3467391463
279	0.3463583706
280	0.3459277224
281	0.3454814321
282	0.3448406817
283	0.3445106889
284	0.3441107499
285	0.3439011748
286	0.3434668616
287	0.3430468011
288	0.3425831919
289	0.3418406602
290	0.3414613698
291	0.3409370607
292	0.3405990193
293	0.34033411
294	0.3401310984
295	0.3396612611
296	0.33939834
297	0.3390933793
298	0.3385798736
299	0.3382678464
300	0.337818466
301	0.3375076845
302	0.3369297899
303	0.336515167
304	0.3360771888
305	0.3356267065
306	0.3352448529
307	0.3348146359
308	0.3343987194
309	0.3340670019
310	0.333529566
311	0.3330833475
312	0.3327668888
313	0.3324323687
314	0.3318198604
315	0.3316011108
316	0.3312544219
317	0.3311308184
318	0.3308242288
319	0.3304528911
320	0.3299445595
321	0.3297183362
322	0.3295990204
323	0.3292449537
324	0.3289908238
325	0.3284537232
326	0.3278190572
327	0.3272956823
328	0.3269052292
329	0.3266067362
330	0.3262219123
331	0.3258024746
332	0.3254994782
333	0.325089191
334	0.3244840605
335	0.3241990297
336	0.323794252
337	0.3233416617
338	0.3229189902
339	0.3224668311
340	0.3220858399
341	0.3217774059
342	0.3215333128
343	0.3211799407
344	0.3208179931
345	0.3205893025
346	0.3203970463
347	0.3201127581
348	0.3197682491
349	0.319485446
350	0.3192306215
351	0.319013381
352	0.3187249248
353	0.3183260398
354	0.3177040934
355	0.3171948276
356	0.3167810191
357	0.3163480952
358	0.3160976303
359	0.3157107224
360	0.3152745647
361	0.3150686546
362	0.3147430694
363	0.3142977612
364	0.313886444
365	0.3135923106
366	0.3130748045
367	0.312737338
368	0.3122777052
369	0.3120852334
370	0.3117188063
371	0.3111322163
372	0.3106074282
373	0.3100079988
374	0.309715662
375	0.3093717758
376	0.3092492262
377	0.3089849876
378	0.3085327327
379	0.3080896523
380	0.3077113918
381	0.3075763381
382	0.307191107
383	0.3066288306
384	0.3062183517
385	0.3058260302
386	0.3055476587
387	0.3052447102
388	0.3048939012
389	0.3045114727
390	0.3042729609
391	0.3037321714
392	0.3035230753
393	0.3032842043
394	0.3030435127
395	0.3027269342
396	0.3023788321
397	0.3021281756
398	0.3017863973
399	0.3013467902
400	0.3008996136
401	0.3003791132
402	0.2999707663
403	0.2996983115
404	0.2994342885
405	0.2991608036
406	0.2987189209
407	0.2984442862
408	0.2982725348
409	0.2979339664
410	0.2976215081
411	0.2973556885
412	0.2971303516
413	0.2968269479
414	0.2965852263
415	0.2963960841
416	0.2961827961
417	0.2957094136
418	0.2954001891
419	0.2951641206
420	0.2950081789
421	0.2947088954
422	0.2944873192
423	0.2941428821
424	0.293815165
425	0.2935935888
426	0.2934256221
427	0.2931283268
428	0.292805113
429	0.2924870015
430	0.2919728729
431	0.2916566538
432	0.2913267089
433	0.2909885717
434	0.2908053223
435	0.2905622592
436	0.2902326737
437	0.2898509638
438	0.2894784044
439	0.2891192355
440	0.2887715885
441	0.2884330201
442	0.2882513276
443	0.2880267572
444	0.2876575275
445	0.2874290286
446	0.2871506331
447	0.2866947371
448	0.28637641
449	0.2861079316
450	0.2857283297
451	0.2853243185
452	0.2851330204
453	0.2848005843
454	0.2844795983
455	0.2841970348
456	0.2837824119
457	0.2834062834
458	0.2829566155
459	0.2827004735
460	0.2824233715
461	0.2821877103
462	0.2817202205
463	0.2812884704
464	0.2808355927
465	0.2806159329
466	0.2803909792
467	0.2801590787
468	0.2798532797
469	0.279623104
470	0.2792039537
471	0.2789354034
472	0.2786321435
473	0.2784529663
474	0.2781798407
475	0.277886905
476	0.2775846272
477	0.2773917003
478	0.2770597433
479	0.2768563723
480	0.2764348266
481	0.2760820534
482	0.2756379908
483	0.2752362313
484	0.2750678334
485	0.2747106287
486	0.2745143961
487	0.2743390036
488	0.2740377319
489	0.2738135926
490	0.2735933339
491	0.2732101629
492	0.2728220572
493	0.2723717187
494	0.2720973954
495	0.2719899369
496	0.2716615491
497	0.2713329217
498	0.2711093813
499	0.2708405914
500	0.2706426581
501	0.2703988764
502	0.2700121361
503	0.2696345464
504	0.2693220881
505	0.2689998565
506	0.2688619043
507	0.2687679561
508	0.2685630999
509	0.2683176654
510	0.2680086086
511	0.267808687
512	0.2674882759
513	0.2672753951
514	0.2671061588
515	0.2669579303
516	0.2667779147
517	0.2665481701
518	0.266225148
519	0.2660003859
520	0.2657132232
521	0.2652231447
522	0.2649701167
523	0.2646910984
524	0.2643935396
525	0.2641414218
526	0.2638149024
527	0.2636803518
528	0.2634329051
529	0.2630824076
530	0.2629078055
531	0.262597048
532	0.2623692677
533	0.2620856981
534	0.2616946701
535	0.2613714324
536	0.261088246
537	0.2609747032
538	0.2607342991
539	0.2605223525
540	0.2603828673
541	0.2600768048
542	0.2599274265
543	0.2597047964
544	0.2593282846
545	0.2590332409
546	0.2588721491
547	0.2585483844
548	0.2583867895
549	0.2580926322
550	0.2578300943
551	0.2574364314
552	0.2571453881
553	0.2569695883
554	0.2567321066
555	0.2564740482
556	0.2562706293
557	0.2559274378
558	0.2557508715
559	0.255436976
560	0.2553144743
561	0.2551079174
562	0.2549041632
563	0.2546936299
564	0.2544650112
565	0.2541789264
566	0.2539054655
567	0.2536553599
568	0.2535188929
569	0.2532265322
570	0.25303006
571	0.2528022318
572	0.2524558783
573	0.2521783212
574	0.2520067854
575	0.2517913175
576	0.2515513685
577	0.2511955292
578	0.2510376951
579	0.2507794451
580	0.2506066636
581	0.250359696
582	0.2501307419
583	0.2498560354
584	0.2496655997
585	0.2494224168
586	0.2491563817
587	0.2490402997
588	0.2487964462
589	0.2486520983
590	0.2482493327
591	0.2480597354
592	0.2478503759
593	0.247661066
594	0.247359914
595	0.2471248756
596	0.2469005208
597	0.2466899635
598	0.2464873591
599	0.2463807869
600	0.2462118621
601	0.2460039637
602	0.2457305268
603	0.2454171343
604	0.2452529044
605	0.2450543722
606	0.2447545377
607	0.2445568678
608	0.2442148261
609	0.2441186979
610	0.2439744938
611	0.2436748509
612	0.2435381684
613	0.243350176
614	0.2431360256
615	0.2428977295
616	0.2426220168
617	0.2424385278
618	0.2421774033
619	0.2420838383
620	0.2419107214
621	0.2415745485
622	0.2413942693
623	0.2411464394
624	0.2408886445
625	0.2407287503
626	0.2404891127
627	0.240295539
628	0.2401633838
629	0.2398696576
630	0.2396489917
631	0.2393431208
632	0.2391027885
633	0.2388969982
634	0.2385681312
635	0.2383737431
636	0.2381616528
637	0.238023533
638	0.2378244498
639	0.2376606032
640	0.2375616485
641	0.2372987034
642	0.237172441
643	0.2369756334
644	0.2367350616
645	0.2364141475
646	0.2361091389
647	0.2358071485
648	0.2356447871
649	0.2354050297
650	0.2352743597
651	0.2349676983
652	0.2348117086
653	0.234509886
654	0.2342599241
655	0.234058733
656	0.2338981921
657	0.2337081156
658	0.2334387748
659	0.2332659933
660	0.233034596
661	0.2328606647
662	0.2326491732
663	0.2324965372
664	0.2323432783
665	0.2321939001
666	0.2318941135
667	0.2317143853
668	0.2315363099
669	0.231283785
670	0.2311142612
671	0.2308082466
672	0.2306214998
673	0.2304006902
674	0.2302284117
675	0.2300286099
676	0.2298522592
677	0.2296553319
678	0.2295624376
679	0.2292608066
680	0.2290160428
681	0.2288206725
682	0.228607624
683	0.2283968751
684	0.228236957
685	0.2280054878
686	0.2278400123
687	0.2276153461
688	0.2273553714
689	0.227110368
690	0.2269536358
691	0.2266892535
692	0.2264207751
693	0.2261645133
694	0.2259139765
695	0.2257529565
696	0.2256145493
697	0.2253875595
698	0.225258159
699	0.2249790449
700	0.2247466175
701	0.2246111087
702	0.2244114985
703	0.2242136609
704	0.2239930908
705	0.2237241094
706	0.22361816
707	0.2234580024
708	0.2232692434
709	0.2231786248
710	0.223032145
711	0.2229008761
712	0.222848656
713	0.2226632985
714	0.2224542743
715	0.2223319403
716	0.2221231078
717	0.2219689148
718	0.2217217555
719	0.2213836902
720	0.2211347344
721	0.2209970937
722	0.2207530246
723	0.2206355293
724	0.2204330925
725	0.2202496035
726	0.2199624169
727	0.2198118169
728	0.2196601151
729	0.2193184806
730	0.2191202358
731	0.2187922552
732	0.2185740326
733	0.2184048682
734	0.218212061
735	0.2179592725
736	0.2177241383
737	0.2175096286
738	0.2173568249
739	0.2172071592
740	0.2169880264
741	0.21667976
742	0.2165591507
743	0.216344665
744	0.2162429076
745	0.2161191124
746	0.2157919942
747	0.2155106284
748	0.2153815393
749	0.2152395868
750	0.2149985838
751	0.2148967307
752	0.2147552812
753	0.2145813739
754	0.2142978522
755	0.2140551485
756	0.2137350009
757	0.2135130654
758	0.2133639267
759	0.2132111708
760	0.2130157047
761	0.2128004285
762	0.2125365253
763	0.2123325794
764	0.2121744819
765	0.2121085121
766	0.2119957597
767	0.2116346505
768	0.2114310639
769	0.211324875
770	0.211191594
771	0.2109937085
772	0.2107317216
773	0.2105306981
774	0.2102935997
775	0.2101264235
776	0.2100185099
777	0.2098718863
778	0.2097555888
779	0.2096110493
780	0.209405235
781	0.2092580365
782	0.2091296421
783	0.2089674005
784	0.2087771085
785	0.208611106
786	0.2084564578
787	0.208249877
788	0.2080706039
789	0.2079754818
790	0.2078481654
791	0.2076086954
792	0.2071939767
793	0.2069973369
794	0.2067792101
795	0.2066227175
796	0.2064539603
797	0.2063407289
798	0.2062556676
799	0.2060467632
